Date,realgdp,realcons,realinv
3/31/1959,2710.349,1707.4,286.898
6/30/1959,2778.801,1733.7,310.859
9/30/1959,2775.488,1751.8,289.226
12/31/1959,2785.204,1753.7,299.356
3/31/1960,2847.699,1770.5,331.722
6/30/1960,2834.39,1792.9,298.152
9/30/1960,2839.022,1785.8,296.375
12/31/1960,2802.616,1788.2,259.764
3/31/1961,2819.264,1787.7,266.405
6/30/1961,2872.005,1814.3,286.246
9/30/1961,2918.419,1823.1,310.227
12/31/1961,2977.83,1859.6,315.463
3/31/1962,3031.241,1879.4,334.271
6/30/1962,3064.709,1902.5,331.039
9/30/1962,3093.047,1917.9,336.962
12/31/1962,3100.563,1945.1,325.65
3/31/1963,3141.087,1958.2,343.721
6/30/1963,3180.447,1976.9,348.73
9/30/1963,3240.332,2003.8,360.102
12/31/1963,3264.967,2020.6,364.534
3/31/1964,3338.246,2060.5,379.523
6/30/1964,3376.587,2096.7,377.778
9/30/1964,3422.469,2135.2,386.754
12/31/1964,3431.957,2141.2,389.91
3/31/1965,3516.251,2188.8,429.145
6/30/1965,3563.96,2213,429.119
9/30/1965,3636.285,2251,444.444
12/31/1965,3724.014,2314.3,446.493
3/31/1966,3815.423,2348.5,484.244
6/30/1966,3828.124,2354.5,475.408
9/30/1966,3853.301,2381.5,470.697
12/31/1966,3884.52,2391.4,472.957
3/31/1967,3918.74,2405.3,460.007
6/30/1967,3919.556,2438.1,440.393
9/30/1967,3950.826,2450.6,453.033
12/31/1967,3980.97,2465.7,462.834
3/31/1968,4063.013,2524.6,472.907
6/30/1968,4131.998,2563.3,492.026
9/30/1968,4160.267,2611.5,476.053
12/31/1968,4178.293,2623.5,480.998
3/31/1969,4244.1,2652.9,512.686
6/30/1969,4256.46,2669.8,508.601
9/30/1969,4283.378,2682.7,520.36
12/31/1969,4263.261,2704.1,492.334
3/31/1970,4256.573,2720.7,476.925
6/30/1970,4264.289,2733.2,478.419
9/30/1970,4302.259,2757.1,486.594
12/31/1970,4256.637,2749.6,458.406
3/31/1971,4374.016,2802.2,517.935
6/30/1971,4398.829,2827.9,533.986
9/30/1971,4433.943,2850.4,541.01
12/31/1971,4446.264,2897.8,524.085
3/31/1972,4525.769,2936.5,561.147
6/30/1972,4633.101,2992.6,595.495
9/30/1972,4677.503,3038.8,603.97
12/31/1972,4754.546,3110.1,607.104
3/31/1973,4876.166,3167,645.654
6/30/1973,4932.571,3165.4,675.837
9/30/1973,4906.252,3176.7,649.412
12/31/1973,4953.05,3167.4,674.253
3/31/1974,4909.617,3139.7,631.23
6/30/1974,4922.188,3150.6,628.102
9/30/1974,4873.52,3163.6,592.672
12/31/1974,4854.34,3117.3,598.306
3/31/1975,4795.295,3143.4,493.212
6/30/1975,4831.942,3195.8,476.085
9/30/1975,4913.328,3241.4,516.402
12/31/1975,4977.511,3275.7,530.596
3/31/1976,5090.663,3341.2,585.541
6/30/1976,5128.947,3371.8,610.513
9/30/1976,5154.072,3407.5,611.646
12/31/1976,5191.499,3451.8,615.898
3/31/1977,5251.762,3491.3,646.198
6/30/1977,5356.131,3510.6,696.141
9/30/1977,5451.921,3544.1,734.078
12/31/1977,5450.793,3597.5,713.356
3/31/1978,5469.405,3618.5,727.504
6/30/1978,5684.569,3695.9,777.454
9/30/1978,5740.3,3711.4,801.452
12/31/1978,5816.222,3741.3,819.689
3/31/1979,5825.949,3760.2,819.556
6/30/1979,5831.418,3758,817.66
9/30/1979,5873.335,3794.9,801.742
12/31/1979,5889.495,3805,786.817
3/31/1980,5908.467,3798.4,781.114
6/30/1980,5787.373,3712.2,710.64
9/30/1980,5776.617,3752,656.477
12/31/1980,5883.46,3802,723.22
3/31/1981,6005.717,3822.8,795.091
6/30/1981,5957.795,3822.8,757.24
9/30/1981,6030.184,3838.3,804.242
12/31/1981,5955.062,3809.3,773.053
3/31/1982,5857.333,3833.9,692.514
6/30/1982,5889.074,3847.7,691.9
9/30/1982,5866.37,3877.2,683.825
12/31/1982,5871.001,3947.9,622.93
3/31/1983,5944.02,3986.6,645.11
6/30/1983,6077.619,4065.7,707.372
9/30/1983,6197.468,4137.6,754.937
12/31/1983,6325.574,4203.2,834.427
3/31/1984,6448.264,4239.2,921.763
6/30/1984,6559.594,4299.9,952.841
9/30/1984,6623.343,4333,974.989
12/31/1984,6677.264,4390.1,958.993
3/31/1985,6740.275,4464.6,927.375
6/30/1985,6797.344,4505.2,943.383
9/30/1985,6903.523,4590.8,932.959
12/31/1985,6955.918,4600.9,969.434
3/31/1986,7022.757,4639.3,967.442
6/30/1986,7050.969,4688.7,945.972
9/30/1986,7118.95,4770.7,916.315
12/31/1986,7153.359,4799.4,917.736
3/31/1987,7193.019,4792.1,945.776
6/30/1987,7269.51,4856.3,947.1
9/30/1987,7332.558,4910.4,948.055
12/31/1987,7458.022,4922.2,1021.98
3/31/1988,7496.6,5004.4,964.398
6/30/1988,7592.881,5040.8,987.858
9/30/1988,7632.082,5080.6,994.204
12/31/1988,7733.991,5140.4,1007.371
3/31/1989,7806.603,5159.3,1045.975
6/30/1989,7865.016,5182.4,1033.753
9/30/1989,7927.393,5236.1,1021.604
12/31/1989,7944.697,5261.7,1011.119
3/31/1990,8027.693,5303.3,1021.07
6/30/1990,8059.598,5320.8,1021.36
9/30/1990,8059.476,5341,997.319
12/31/1990,7988.864,5299.5,934.248
3/31/1991,7950.164,5284.4,896.21
6/30/1991,8003.822,5324.7,891.704
9/30/1991,8037.538,5345,913.904
12/31/1991,8069.046,5342.6,948.891
3/31/1992,8157.616,5434.5,927.796
6/30/1992,8244.294,5466.7,988.912
9/30/1992,8329.361,5527.1,999.135
12/31/1992,8417.016,5594.6,1030.758
3/31/1993,8432.485,5617.2,1054.979
6/30/1993,8486.435,5671.1,1063.263
9/30/1993,8531.108,5732.7,1062.514
12/31/1993,8643.769,5783.7,1118.583
3/31/1994,8727.919,5848.1,1166.845
6/30/1994,8847.303,5891.5,1234.855
9/30/1994,8904.289,5938.7,1212.655
12/31/1994,9003.18,5997.3,1269.19
3/31/1995,9025.267,6004.3,1282.09
6/30/1995,9044.668,6053.5,1247.61
9/30/1995,9120.684,6107.6,1235.601
12/31/1995,9184.275,6150.6,1270.392
3/31/1996,9247.188,6206.9,1287.128
6/30/1996,9407.052,6277.1,1353.795
9/30/1996,9488.879,6314.6,1422.059
12/31/1996,9592.458,6366.1,1418.193
3/31/1997,9666.235,6430.2,1451.304
6/30/1997,9809.551,6456.2,1543.976
9/30/1997,9932.672,6566,1571.426
12/31/1997,10008.874,6641.1,1596.523
3/31/1998,10103.425,6707.2,1672.732
6/30/1998,10194.277,6822.6,1652.716
9/30/1998,10328.787,6913.1,1700.071
12/31/1998,10507.575,7019.1,1754.743
3/31/1999,10601.179,7088.3,1809.993
6/30/1999,10684.049,7199.9,1803.674
9/30/1999,10819.914,7286.4,1848.949
12/31/1999,11014.254,7389.2,1914.567
3/31/2000,11043.044,7501.3,1887.836
6/30/2000,11258.454,7571.8,2018.529
9/30/2000,11267.867,7645.9,1986.956
12/31/2000,11334.544,7713.5,1987.845
3/31/2001,11297.171,7744.3,1882.691
6/30/2001,11371.251,7773.5,1876.65
9/30/2001,11340.075,7807.7,1837.074
12/31/2001,11380.128,7930,1731.189
3/31/2002,11477.868,7957.3,1789.327
6/30/2002,11538.77,7997.8,1810.779
9/30/2002,11596.43,8052,1814.531
12/31/2002,11598.824,8080.6,1813.219
3/31/2003,11645.819,8122.3,1813.141
6/30/2003,11738.706,8197.8,1823.698
9/30/2003,11935.461,8312.1,1889.883
12/31/2003,12042.817,8358,1959.783
3/31/2004,12127.623,8437.6,1970.015
6/30/2004,12213.818,8483.2,2055.58
9/30/2004,12303.533,8555.8,2082.231
12/31/2004,12410.282,8654.2,2125.152
3/31/2005,12534.113,8719,2170.299
6/30/2005,12587.535,8802.9,2131.468
9/30/2005,12683.153,8865.6,2154.949
12/31/2005,12748.699,8888.5,2232.193
3/31/2006,12915.938,8986.6,2264.721
6/30/2006,12962.462,9035,2261.247
9/30/2006,12965.916,9090.7,2229.636
12/31/2006,13060.679,9181.6,2165.966
3/31/2007,13099.901,9265.1,2132.609
6/30/2007,13203.977,9291.5,2162.214
9/30/2007,13321.109,9335.6,2166.491
12/31/2007,13391.249,9363.6,2123.426
3/31/2008,13366.865,9349.6,2082.886
6/30/2008,13415.266,9351,2026.518
9/30/2008,13324.6,9267.7,1990.693
12/31/2008,13141.92,9195.3,1857.661
3/31/2009,12925.41,9209.2,1558.494
6/30/2009,12901.504,9189,1456.678
9/30/2009,12990.341,9256,1486.398
